prediction,route_load_factor,route_reliability_delay_min,trip_punctuality_rate,avg_trip_boardings,avg_daily_boardings,crowding_rate,bunching_rate,arrival_delay_std_min,routes,plain_language_label
0,0.3000164750627693,3.666477539679966,0.5563480246643621,32.3150045793483,2035.4715124821146,0.03658545491006582,9.777572102272745e-05,6.69425788313899,32,Low-occupancy delay-prone mid-demand routes
1,0.3059667538359495,1.269145472160633,0.7200577424871345,23.091884121458488,951.085882750175,0.05361825319912601,0.0,4.77655075059221,60,Low-demand reliable routes
2,0.7313807921780546,1.4857500630771068,0.6489119196231476,59.293978263526604,3365.7468257626774,0.3506164725682294,5.221059823428524e-05,5.434048593675412,20,High-demand high-crowding routes
3,0.4333844758309003,1.3188264300000097,0.4612900016966949,99.81797010919048,14704.825158558273,0.0896938796920199,0.0002756640161507959,8.392700699023923,4,Very-high-demand unreliable trunk routes
